"시점","시도별","성별","연령계층별",데이터
"2015.1/4","서울특별시","남자","20 - 29세",322
"2015.1/4","서울특별시","남자","30 - 39세",752
"2015.1/4","서울특별시","남자","40 - 49세",750
"2015.1/4","서울특별시","남자","50 - 59세",669
"2015.1/4","서울특별시","남자","60세이상",366
"2015.1/4","서울특별시","여자","20 - 29세",468
"2015.1/4","서울특별시","여자","30 - 39세",509
"2015.1/4","서울특별시","여자","40 - 49세",513
"2015.1/4","서울특별시","여자","50 - 59세",502
"2015.1/4","서울특별시","여자","60세이상",244
"2015.1/4","부산광역시","남자","20 - 29세",111
"2015.1/4","부산광역시","남자","30 - 39세",219
"2015.1/4","부산광역시","남자","40 - 49세",245
"2015.1/4","부산광역시","남자","50 - 59세",246
"2015.1/4","부산광역시","남자","60세이상",139
"2015.1/4","부산광역시","여자","20 - 29세",112
"2015.1/4","부산광역시","여자","30 - 39세",131
"2015.1/4","부산광역시","여자","40 - 49세",175
"2015.1/4","부산광역시","여자","50 - 59세",184
"2015.1/4","부산광역시","여자","60세이상",98
"2015.1/4","대구광역시","남자","20 - 29세",74
"2015.1/4","대구광역시","남자","30 - 39세",158
"2015.1/4","대구광역시","남자","40 - 49세",198
"2015.1/4","대구광역시","남자","50 - 59세",179
"2015.1/4","대구광역시","남자","60세이상",85
"2015.1/4","대구광역시","여자","20 - 29세",88
"2015.1/4","대구광역시","여자","30 - 39세",104
"2015.1/4","대구광역시","여자","40 - 49세",141
"2015.1/4","대구광역시","여자","50 - 59세",125
"2015.1/4","대구광역시","여자","60세이상",60
"2015.1/4","인천광역시","남자","20 - 29세",98
"2015.1/4","인천광역시","남자","30 - 39세",222
"2015.1/4","인천광역시","남자","40 - 49세",233
"2015.1/4","인천광역시","남자","50 - 59세",202
"2015.1/4","인천광역시","남자","60세이상",83
"2015.1/4","인천광역시","여자","20 - 29세",106
"2015.1/4","인천광역시","여자","30 - 39세",124
"2015.1/4","인천광역시","여자","40 - 49세",162
"2015.1/4","인천광역시","여자","50 - 59세",138
"2015.1/4","인천광역시","여자","60세이상",63
"2015.1/4","광주광역시","남자","20 - 29세",51
"2015.1/4","광주광역시","남자","30 - 39세",105
"2015.1/4","광주광역시","남자","40 - 49세",122
"2015.1/4","광주광역시","남자","50 - 59세",93
"2015.1/4","광주광역시","남자","60세이상",45
"2015.1/4","광주광역시","여자","20 - 29세",51
"2015.1/4","광주광역시","여자","30 - 39세",68
"2015.1/4","광주광역시","여자","40 - 49세",83
"2015.1/4","광주광역시","여자","50 - 59세",64
"2015.1/4","광주광역시","여자","60세이상",30
"2015.1/4","대전광역시","남자","20 - 29세",61
"2015.1/4","대전광역시","남자","30 - 39세",108
"2015.1/4","대전광역시","남자","40 - 49세",121
"2015.1/4","대전광역시","남자","50 - 59세",104
"2015.1/4","대전광역시","남자","60세이상",45
"2015.1/4","대전광역시","여자","20 - 29세",59
"2015.1/4","대전광역시","여자","30 - 39세",69
"2015.1/4","대전광역시","여자","40 - 49세",83
"2015.1/4","대전광역시","여자","50 - 59세",75
"2015.1/4","대전광역시","여자","60세이상",29
"2015.1/4","울산광역시","남자","20 - 29세",40
"2015.1/4","울산광역시","남자","30 - 39세",93
"2015.1/4","울산광역시","남자","40 - 49세",103
"2015.1/4","울산광역시","남자","50 - 59세",95
"2015.1/4","울산광역시","남자","60세이상",34
"2015.1/4","울산광역시","여자","20 - 29세",32
"2015.1/4","울산광역시","여자","30 - 39세",35
"2015.1/4","울산광역시","여자","40 - 49세",58
"2015.1/4","울산광역시","여자","50 - 59세",45
"2015.1/4","울산광역시","여자","60세이상",17
"2015.1/4","세종특별자치시","남자","20 - 29세",-
"2015.1/4","세종특별자치시","남자","30 - 39세",-
"2015.1/4","세종특별자치시","남자","40 - 49세",-
"2015.1/4","세종특별자치시","남자","50 - 59세",-
"2015.1/4","세종특별자치시","남자","60세이상",-
"2015.1/4","세종특별자치시","여자","20 - 29세",-
"2015.1/4","세종특별자치시","여자","30 - 39세",-
"2015.1/4","세종특별자치시","여자","40 - 49세",-
"2015.1/4","세종특별자치시","여자","50 - 59세",-
"2015.1/4","세종특별자치시","여자","60세이상",-
"2015.1/4","경기도","남자","20 - 29세",451
"2015.1/4","경기도","남자","30 - 39세",954
"2015.1/4","경기도","남자","40 - 49세",1078
"2015.1/4","경기도","남자","50 - 59세",828
"2015.1/4","경기도","남자","60세이상",373
"2015.1/4","경기도","여자","20 - 29세",487
"2015.1/4","경기도","여자","30 - 39세",523
"2015.1/4","경기도","여자","40 - 49세",739
"2015.1/4","경기도","여자","50 - 59세",552
"2015.1/4","경기도","여자","60세이상",223
"2015.1/4","강원도","남자","20 - 29세",34
"2015.1/4","강원도","남자","30 - 39세",76
"2015.1/4","강원도","남자","40 - 49세",107
"2015.1/4","강원도","남자","50 - 59세",101
"2015.1/4","강원도","남자","60세이상",58
"2015.1/4","강원도","여자","20 - 29세",37
"2015.1/4","강원도","여자","30 - 39세",54
"2015.1/4","강원도","여자","40 - 49세",84
"2015.1/4","강원도","여자","50 - 59세",76
"2015.1/4","강원도","여자","60세이상",43
"2015.1/4","충청북도","남자","20 - 29세",59
"2015.1/4","충청북도","남자","30 - 39세",105
"2015.1/4","충청북도","남자","40 - 49세",121
"2015.1/4","충청북도","남자","50 - 59세",107
"2015.1/4","충청북도","남자","60세이상",61
"2015.1/4","충청북도","여자","20 - 29세",50
"2015.1/4","충청북도","여자","30 - 39세",64
"2015.1/4","충청북도","여자","40 - 49세",88
"2015.1/4","충청북도","여자","50 - 59세",82
"2015.1/4","충청북도","여자","60세이상",43
"2015.1/4","충청남도","남자","20 - 29세",97
"2015.1/4","충청남도","남자","30 - 39세",166
"2015.1/4","충청남도","남자","40 - 49세",172
"2015.1/4","충청남도","남자","50 - 59세",154
"2015.1/4","충청남도","남자","60세이상",100
"2015.1/4","충청남도","여자","20 - 29세",73
"2015.1/4","충청남도","여자","30 - 39세",78
"2015.1/4","충청남도","여자","40 - 49세",110
"2015.1/4","충청남도","여자","50 - 59세",104
"2015.1/4","충청남도","여자","60세이상",66
"2015.1/4","전라북도","남자","20 - 29세",55
"2015.1/4","전라북도","남자","30 - 39세",108
"2015.1/4","전라북도","남자","40 - 49세",129
"2015.1/4","전라북도","남자","50 - 59세",125
"2015.1/4","전라북도","남자","60세이상",98
"2015.1/4","전라북도","여자","20 - 29세",53
"2015.1/4","전라북도","여자","30 - 39세",63
"2015.1/4","전라북도","여자","40 - 49세",92
"2015.1/4","전라북도","여자","50 - 59세",83
"2015.1/4","전라북도","여자","60세이상",66
"2015.1/4","전라남도","남자","20 - 29세",48
"2015.1/4","전라남도","남자","30 - 39세",105
"2015.1/4","전라남도","남자","40 - 49세",136
"2015.1/4","전라남도","남자","50 - 59세",129
"2015.1/4","전라남도","남자","60세이상",115
"2015.1/4","전라남도","여자","20 - 29세",43
"2015.1/4","전라남도","여자","30 - 39세",65
"2015.1/4","전라남도","여자","40 - 49세",88
"2015.1/4","전라남도","여자","50 - 59세",87
"2015.1/4","전라남도","여자","60세이상",106
"2015.1/4","경상북도","남자","20 - 29세",86
"2015.1/4","경상북도","남자","30 - 39세",164
"2015.1/4","경상북도","남자","40 - 49세",203
"2015.1/4","경상북도","남자","50 - 59세",196
"2015.1/4","경상북도","남자","60세이상",168
"2015.1/4","경상북도","여자","20 - 29세",77
"2015.1/4","경상북도","여자","30 - 39세",86
"2015.1/4","경상북도","여자","40 - 49세",135
"2015.1/4","경상북도","여자","50 - 59세",139
"2015.1/4","경상북도","여자","60세이상",110
"2015.1/4","경상남도","남자","20 - 29세",104
"2015.1/4","경상남도","남자","30 - 39세",239
"2015.1/4","경상남도","남자","40 - 49세",277
"2015.1/4","경상남도","남자","50 - 59세",227
"2015.1/4","경상남도","남자","60세이상",130
"2015.1/4","경상남도","여자","20 - 29세",84
"2015.1/4","경상남도","여자","30 - 39세",126
"2015.1/4","경상남도","여자","40 - 49세",189
"2015.1/4","경상남도","여자","50 - 59세",160
"2015.1/4","경상남도","여자","60세이상",85
"2015.1/4","제주도","남자","20 - 29세",20
"2015.1/4","제주도","남자","30 - 39세",40
"2015.1/4","제주도","남자","40 - 49세",50
"2015.1/4","제주도","남자","50 - 59세",40
"2015.1/4","제주도","남자","60세이상",28
"2015.1/4","제주도","여자","20 - 29세",18
"2015.1/4","제주도","여자","30 - 39세",28
"2015.1/4","제주도","여자","40 - 49세",39
"2015.1/4","제주도","여자","50 - 59세",33
"2015.1/4","제주도","여자","60세이상",26
"2015.2/4","서울특별시","남자","20 - 29세",342
"2015.2/4","서울특별시","남자","30 - 39세",736
"2015.2/4","서울특별시","남자","40 - 49세",752
"2015.2/4","서울특별시","남자","50 - 59세",668
"2015.2/4","서울특별시","남자","60세이상",377
"2015.2/4","서울특별시","여자","20 - 29세",460
"2015.2/4","서울특별시","여자","30 - 39세",515
"2015.2/4","서울특별시","여자","40 - 49세",521
"2015.2/4","서울특별시","여자","50 - 59세",497
"2015.2/4","서울특별시","여자","60세이상",249
"2015.2/4","부산광역시","남자","20 - 29세",108
"2015.2/4","부산광역시","남자","30 - 39세",219
"2015.2/4","부산광역시","남자","40 - 49세",242
"2015.2/4","부산광역시","남자","50 - 59세",243
"2015.2/4","부산광역시","남자","60세이상",150
"2015.2/4","부산광역시","여자","20 - 29세",119
"2015.2/4","부산광역시","여자","30 - 39세",133
"2015.2/4","부산광역시","여자","40 - 49세",176
"2015.2/4","부산광역시","여자","50 - 59세",181
"2015.2/4","부산광역시","여자","60세이상",102
"2015.2/4","대구광역시","남자","20 - 29세",78
"2015.2/4","대구광역시","남자","30 - 39세",156
"2015.2/4","대구광역시","남자","40 - 49세",199
"2015.2/4","대구광역시","남자","50 - 59세",182
"2015.2/4","대구광역시","남자","60세이상",94
"2015.2/4","대구광역시","여자","20 - 29세",89
"2015.2/4","대구광역시","여자","30 - 39세",103
"2015.2/4","대구광역시","여자","40 - 49세",148
"2015.2/4","대구광역시","여자","50 - 59세",129
"2015.2/4","대구광역시","여자","60세이상",65
"2015.2/4","인천광역시","남자","20 - 29세",100
"2015.2/4","인천광역시","남자","30 - 39세",218
"2015.2/4","인천광역시","남자","40 - 49세",238
"2015.2/4","인천광역시","남자","50 - 59세",203
"2015.2/4","인천광역시","남자","60세이상",103
"2015.2/4","인천광역시","여자","20 - 29세",110
"2015.2/4","인천광역시","여자","30 - 39세",117
"2015.2/4","인천광역시","여자","40 - 49세",164
"2015.2/4","인천광역시","여자","50 - 59세",144
"2015.2/4","인천광역시","여자","60세이상",82
"2015.2/4","광주광역시","남자","20 - 29세",50
"2015.2/4","광주광역시","남자","30 - 39세",104
"2015.2/4","광주광역시","남자","40 - 49세",123
"2015.2/4","광주광역시","남자","50 - 59세",95
"2015.2/4","광주광역시","남자","60세이상",49
"2015.2/4","광주광역시","여자","20 - 29세",51
"2015.2/4","광주광역시","여자","30 - 39세",63
"2015.2/4","광주광역시","여자","40 - 49세",88
"2015.2/4","광주광역시","여자","50 - 59세",64
"2015.2/4","광주광역시","여자","60세이상",38
"2015.2/4","대전광역시","남자","20 - 29세",59
"2015.2/4","대전광역시","남자","30 - 39세",106
"2015.2/4","대전광역시","남자","40 - 49세",121
"2015.2/4","대전광역시","남자","50 - 59세",105
"2015.2/4","대전광역시","남자","60세이상",51
"2015.2/4","대전광역시","여자","20 - 29세",60
"2015.2/4","대전광역시","여자","30 - 39세",70
"2015.2/4","대전광역시","여자","40 - 49세",83
"2015.2/4","대전광역시","여자","50 - 59세",75
"2015.2/4","대전광역시","여자","60세이상",34
"2015.2/4","울산광역시","남자","20 - 29세",46
"2015.2/4","울산광역시","남자","30 - 39세",92
"2015.2/4","울산광역시","남자","40 - 49세",103
"2015.2/4","울산광역시","남자","50 - 59세",95
"2015.2/4","울산광역시","남자","60세이상",37
"2015.2/4","울산광역시","여자","20 - 29세",34
"2015.2/4","울산광역시","여자","30 - 39세",39
"2015.2/4","울산광역시","여자","40 - 49세",60
"2015.2/4","울산광역시","여자","50 - 59세",44
"2015.2/4","울산광역시","여자","60세이상",21
"2015.2/4","세종특별자치시","남자","20 - 29세",-
"2015.2/4","세종특별자치시","남자","30 - 39세",-
"2015.2/4","세종특별자치시","남자","40 - 49세",-
"2015.2/4","세종특별자치시","남자","50 - 59세",-
"2015.2/4","세종특별자치시","남자","60세이상",-
"2015.2/4","세종특별자치시","여자","20 - 29세",-
"2015.2/4","세종특별자치시","여자","30 - 39세",-
"2015.2/4","세종특별자치시","여자","40 - 49세",-
"2015.2/4","세종특별자치시","여자","50 - 59세",-
"2015.2/4","세종특별자치시","여자","60세이상",-
"2015.2/4","경기도","남자","20 - 29세",439
"2015.2/4","경기도","남자","30 - 39세",958
"2015.2/4","경기도","남자","40 - 49세",1090
"2015.2/4","경기도","남자","50 - 59세",852
"2015.2/4","경기도","남자","60세이상",421
"2015.2/4","경기도","여자","20 - 29세",498
"2015.2/4","경기도","여자","30 - 39세",521
"2015.2/4","경기도","여자","40 - 49세",744
"2015.2/4","경기도","여자","50 - 59세",577
"2015.2/4","경기도","여자","60세이상",254
"2015.2/4","강원도","남자","20 - 29세",42
"2015.2/4","강원도","남자","30 - 39세",80
"2015.2/4","강원도","남자","40 - 49세",110
"2015.2/4","강원도","남자","50 - 59세",113
"2015.2/4","강원도","남자","60세이상",80
"2015.2/4","강원도","여자","20 - 29세",40
"2015.2/4","강원도","여자","30 - 39세",52
"2015.2/4","강원도","여자","40 - 49세",84
"2015.2/4","강원도","여자","50 - 59세",83
"2015.2/4","강원도","여자","60세이상",72
"2015.2/4","충청북도","남자","20 - 29세",58
"2015.2/4","충청북도","남자","30 - 39세",105
"2015.2/4","충청북도","남자","40 - 49세",125
"2015.2/4","충청북도","남자","50 - 59세",115
"2015.2/4","충청북도","남자","60세이상",77
"2015.2/4","충청북도","여자","20 - 29세",54
"2015.2/4","충청북도","여자","30 - 39세",64
"2015.2/4","충청북도","여자","40 - 49세",88
"2015.2/4","충청북도","여자","50 - 59세",88
"2015.2/4","충청북도","여자","60세이상",67
"2015.2/4","충청남도","남자","20 - 29세",96
"2015.2/4","충청남도","남자","30 - 39세",170
"2015.2/4","충청남도","남자","40 - 49세",177
"2015.2/4","충청남도","남자","50 - 59세",155
"2015.2/4","충청남도","남자","60세이상",122
"2015.2/4","충청남도","여자","20 - 29세",77
"2015.2/4","충청남도","여자","30 - 39세",84
"2015.2/4","충청남도","여자","40 - 49세",115
"2015.2/4","충청남도","여자","50 - 59세",115
"2015.2/4","충청남도","여자","60세이상",103
"2015.2/4","전라북도","남자","20 - 29세",53
"2015.2/4","전라북도","남자","30 - 39세",107
"2015.2/4","전라북도","남자","40 - 49세",134
"2015.2/4","전라북도","남자","50 - 59세",127
"2015.2/4","전라북도","남자","60세이상",109
"2015.2/4","전라북도","여자","20 - 29세",58
"2015.2/4","전라북도","여자","30 - 39세",63
"2015.2/4","전라북도","여자","40 - 49세",97
"2015.2/4","전라북도","여자","50 - 59세",94
"2015.2/4","전라북도","여자","60세이상",92
"2015.2/4","전라남도","남자","20 - 29세",49
"2015.2/4","전라남도","남자","30 - 39세",106
"2015.2/4","전라남도","남자","40 - 49세",138
"2015.2/4","전라남도","남자","50 - 59세",131
"2015.2/4","전라남도","남자","60세이상",123
"2015.2/4","전라남도","여자","20 - 29세",44
"2015.2/4","전라남도","여자","30 - 39세",65
"2015.2/4","전라남도","여자","40 - 49세",89
"2015.2/4","전라남도","여자","50 - 59세",93
"2015.2/4","전라남도","여자","60세이상",132
"2015.2/4","경상북도","남자","20 - 29세",92
"2015.2/4","경상북도","남자","30 - 39세",166
"2015.2/4","경상북도","남자","40 - 49세",205
"2015.2/4","경상북도","남자","50 - 59세",202
"2015.2/4","경상북도","남자","60세이상",176
"2015.2/4","경상북도","여자","20 - 29세",85
"2015.2/4","경상북도","여자","30 - 39세",83
"2015.2/4","경상북도","여자","40 - 49세",142
"2015.2/4","경상북도","여자","50 - 59세",142
"2015.2/4","경상북도","여자","60세이상",154
"2015.2/4","경상남도","남자","20 - 29세",110
"2015.2/4","경상남도","남자","30 - 39세",239
"2015.2/4","경상남도","남자","40 - 49세",280
"2015.2/4","경상남도","남자","50 - 59세",233
"2015.2/4","경상남도","남자","60세이상",149
"2015.2/4","경상남도","여자","20 - 29세",85
"2015.2/4","경상남도","여자","30 - 39세",123
"2015.2/4","경상남도","여자","40 - 49세",190
"2015.2/4","경상남도","여자","50 - 59세",171
"2015.2/4","경상남도","여자","60세이상",114
"2015.2/4","제주도","남자","20 - 29세",19
"2015.2/4","제주도","남자","30 - 39세",41
"2015.2/4","제주도","남자","40 - 49세",51
"2015.2/4","제주도","남자","50 - 59세",41
"2015.2/4","제주도","남자","60세이상",29
"2015.2/4","제주도","여자","20 - 29세",19
"2015.2/4","제주도","여자","30 - 39세",27
"2015.2/4","제주도","여자","40 - 49세",40
"2015.2/4","제주도","여자","50 - 59세",34
"2015.2/4","제주도","여자","60세이상",31
"2015.3/4","서울특별시","남자","20 - 29세",345
"2015.3/4","서울특별시","남자","30 - 39세",734
"2015.3/4","서울특별시","남자","40 - 49세",754
"2015.3/4","서울특별시","남자","50 - 59세",663
"2015.3/4","서울특별시","남자","60세이상",384
"2015.3/4","서울특별시","여자","20 - 29세",458
"2015.3/4","서울특별시","여자","30 - 39세",515
"2015.3/4","서울특별시","여자","40 - 49세",524
"2015.3/4","서울특별시","여자","50 - 59세",506
"2015.3/4","서울특별시","여자","60세이상",256
"2015.3/4","부산광역시","남자","20 - 29세",109
"2015.3/4","부산광역시","남자","30 - 39세",218
"2015.3/4","부산광역시","남자","40 - 49세",239
"2015.3/4","부산광역시","남자","50 - 59세",238
"2015.3/4","부산광역시","남자","60세이상",152
"2015.3/4","부산광역시","여자","20 - 29세",118
"2015.3/4","부산광역시","여자","30 - 39세",134
"2015.3/4","부산광역시","여자","40 - 49세",173
"2015.3/4","부산광역시","여자","50 - 59세",183
"2015.3/4","부산광역시","여자","60세이상",104
"2015.3/4","대구광역시","남자","20 - 29세",80
"2015.3/4","대구광역시","남자","30 - 39세",159
"2015.3/4","대구광역시","남자","40 - 49세",195
"2015.3/4","대구광역시","남자","50 - 59세",179
"2015.3/4","대구광역시","남자","60세이상",97
"2015.3/4","대구광역시","여자","20 - 29세",88
"2015.3/4","대구광역시","여자","30 - 39세",107
"2015.3/4","대구광역시","여자","40 - 49세",143
"2015.3/4","대구광역시","여자","50 - 59세",125
"2015.3/4","대구광역시","여자","60세이상",64
"2015.3/4","인천광역시","남자","20 - 29세",103
"2015.3/4","인천광역시","남자","30 - 39세",217
"2015.3/4","인천광역시","남자","40 - 49세",238
"2015.3/4","인천광역시","남자","50 - 59세",208
"2015.3/4","인천광역시","남자","60세이상",104
"2015.3/4","인천광역시","여자","20 - 29세",111
"2015.3/4","인천광역시","여자","30 - 39세",117
"2015.3/4","인천광역시","여자","40 - 49세",161
"2015.3/4","인천광역시","여자","50 - 59세",146
"2015.3/4","인천광역시","여자","60세이상",81
"2015.3/4","광주광역시","남자","20 - 29세",47
"2015.3/4","광주광역시","남자","30 - 39세",106
"2015.3/4","광주광역시","남자","40 - 49세",123
"2015.3/4","광주광역시","남자","50 - 59세",97
"2015.3/4","광주광역시","남자","60세이상",49
"2015.3/4","광주광역시","여자","20 - 29세",53
"2015.3/4","광주광역시","여자","30 - 39세",66
"2015.3/4","광주광역시","여자","40 - 49세",89
"2015.3/4","광주광역시","여자","50 - 59세",65
"2015.3/4","광주광역시","여자","60세이상",41
"2015.3/4","대전광역시","남자","20 - 29세",57
"2015.3/4","대전광역시","남자","30 - 39세",106
"2015.3/4","대전광역시","남자","40 - 49세",120
"2015.3/4","대전광역시","남자","50 - 59세",104
"2015.3/4","대전광역시","남자","60세이상",53
"2015.3/4","대전광역시","여자","20 - 29세",61
"2015.3/4","대전광역시","여자","30 - 39세",68
"2015.3/4","대전광역시","여자","40 - 49세",84
"2015.3/4","대전광역시","여자","50 - 59세",77
"2015.3/4","대전광역시","여자","60세이상",35
"2015.3/4","울산광역시","남자","20 - 29세",45
"2015.3/4","울산광역시","남자","30 - 39세",91
"2015.3/4","울산광역시","남자","40 - 49세",102
"2015.3/4","울산광역시","남자","50 - 59세",95
"2015.3/4","울산광역시","남자","60세이상",39
"2015.3/4","울산광역시","여자","20 - 29세",34
"2015.3/4","울산광역시","여자","30 - 39세",40
"2015.3/4","울산광역시","여자","40 - 49세",63
"2015.3/4","울산광역시","여자","50 - 59세",45
"2015.3/4","울산광역시","여자","60세이상",22
"2015.3/4","세종특별자치시","남자","20 - 29세",-
"2015.3/4","세종특별자치시","남자","30 - 39세",-
"2015.3/4","세종특별자치시","남자","40 - 49세",-
"2015.3/4","세종특별자치시","남자","50 - 59세",-
"2015.3/4","세종특별자치시","남자","60세이상",-
"2015.3/4","세종특별자치시","여자","20 - 29세",-
"2015.3/4","세종특별자치시","여자","30 - 39세",-
"2015.3/4","세종특별자치시","여자","40 - 49세",-
"2015.3/4","세종특별자치시","여자","50 - 59세",-
"2015.3/4","세종특별자치시","여자","60세이상",-
"2015.3/4","경기도","남자","20 - 29세",446
"2015.3/4","경기도","남자","30 - 39세",954
"2015.3/4","경기도","남자","40 - 49세",1076
"2015.3/4","경기도","남자","50 - 59세",847
"2015.3/4","경기도","남자","60세이상",427
"2015.3/4","경기도","여자","20 - 29세",501
"2015.3/4","경기도","여자","30 - 39세",533
"2015.3/4","경기도","여자","40 - 49세",747
"2015.3/4","경기도","여자","50 - 59세",579
"2015.3/4","경기도","여자","60세이상",261
"2015.3/4","강원도","남자","20 - 29세",44
"2015.3/4","강원도","남자","30 - 39세",80
"2015.3/4","강원도","남자","40 - 49세",110
"2015.3/4","강원도","남자","50 - 59세",114
"2015.3/4","강원도","남자","60세이상",83
"2015.3/4","강원도","여자","20 - 29세",47
"2015.3/4","강원도","여자","30 - 39세",53
"2015.3/4","강원도","여자","40 - 49세",85
"2015.3/4","강원도","여자","50 - 59세",84
"2015.3/4","강원도","여자","60세이상",75
"2015.3/4","충청북도","남자","20 - 29세",61
"2015.3/4","충청북도","남자","30 - 39세",104
"2015.3/4","충청북도","남자","40 - 49세",124
"2015.3/4","충청북도","남자","50 - 59세",118
"2015.3/4","충청북도","남자","60세이상",79
"2015.3/4","충청북도","여자","20 - 29세",53
"2015.3/4","충청북도","여자","30 - 39세",64
"2015.3/4","충청북도","여자","40 - 49세",92
"2015.3/4","충청북도","여자","50 - 59세",88
"2015.3/4","충청북도","여자","60세이상",66
"2015.3/4","충청남도","남자","20 - 29세",101
"2015.3/4","충청남도","남자","30 - 39세",168
"2015.3/4","충청남도","남자","40 - 49세",182
"2015.3/4","충청남도","남자","50 - 59세",154
"2015.3/4","충청남도","남자","60세이상",120
"2015.3/4","충청남도","여자","20 - 29세",77
"2015.3/4","충청남도","여자","30 - 39세",85
"2015.3/4","충청남도","여자","40 - 49세",115
"2015.3/4","충청남도","여자","50 - 59세",115
"2015.3/4","충청남도","여자","60세이상",104
"2015.3/4","전라북도","남자","20 - 29세",49
"2015.3/4","전라북도","남자","30 - 39세",112
"2015.3/4","전라북도","남자","40 - 49세",137
"2015.3/4","전라북도","남자","50 - 59세",130
"2015.3/4","전라북도","남자","60세이상",109
"2015.3/4","전라북도","여자","20 - 29세",56
"2015.3/4","전라북도","여자","30 - 39세",58
"2015.3/4","전라북도","여자","40 - 49세",100
"2015.3/4","전라북도","여자","50 - 59세",93
"2015.3/4","전라북도","여자","60세이상",94
"2015.3/4","전라남도","남자","20 - 29세",45
"2015.3/4","전라남도","남자","30 - 39세",106
"2015.3/4","전라남도","남자","40 - 49세",136
"2015.3/4","전라남도","남자","50 - 59세",131
"2015.3/4","전라남도","남자","60세이상",125
"2015.3/4","전라남도","여자","20 - 29세",44
"2015.3/4","전라남도","여자","30 - 39세",59
"2015.3/4","전라남도","여자","40 - 49세",92
"2015.3/4","전라남도","여자","50 - 59세",93
"2015.3/4","전라남도","여자","60세이상",133
"2015.3/4","경상북도","남자","20 - 29세",96
"2015.3/4","경상북도","남자","30 - 39세",164
"2015.3/4","경상북도","남자","40 - 49세",204
"2015.3/4","경상북도","남자","50 - 59세",203
"2015.3/4","경상북도","남자","60세이상",172
"2015.3/4","경상북도","여자","20 - 29세",85
"2015.3/4","경상북도","여자","30 - 39세",83
"2015.3/4","경상북도","여자","40 - 49세",143
"2015.3/4","경상북도","여자","50 - 59세",141
"2015.3/4","경상북도","여자","60세이상",152
"2015.3/4","경상남도","남자","20 - 29세",108
"2015.3/4","경상남도","남자","30 - 39세",239
"2015.3/4","경상남도","남자","40 - 49세",275
"2015.3/4","경상남도","남자","50 - 59세",236
"2015.3/4","경상남도","남자","60세이상",152
"2015.3/4","경상남도","여자","20 - 29세",95
"2015.3/4","경상남도","여자","30 - 39세",121
"2015.3/4","경상남도","여자","40 - 49세",185
"2015.3/4","경상남도","여자","50 - 59세",176
"2015.3/4","경상남도","여자","60세이상",119
"2015.3/4","제주도","남자","20 - 29세",21
"2015.3/4","제주도","남자","30 - 39세",41
"2015.3/4","제주도","남자","40 - 49세",52
"2015.3/4","제주도","남자","50 - 59세",41
"2015.3/4","제주도","남자","60세이상",30
"2015.3/4","제주도","여자","20 - 29세",20
"2015.3/4","제주도","여자","30 - 39세",29
"2015.3/4","제주도","여자","40 - 49세",40
"2015.3/4","제주도","여자","50 - 59세",34
"2015.3/4","제주도","여자","60세이상",32
"2015.4/4","서울특별시","남자","20 - 29세",341
"2015.4/4","서울특별시","남자","30 - 39세",737
"2015.4/4","서울특별시","남자","40 - 49세",751
"2015.4/4","서울특별시","남자","50 - 59세",665
"2015.4/4","서울특별시","남자","60세이상",383
"2015.4/4","서울특별시","여자","20 - 29세",456
"2015.4/4","서울특별시","여자","30 - 39세",511
"2015.4/4","서울특별시","여자","40 - 49세",529
"2015.4/4","서울특별시","여자","50 - 59세",501
"2015.4/4","서울특별시","여자","60세이상",259
"2015.4/4","부산광역시","남자","20 - 29세",104
"2015.4/4","부산광역시","남자","30 - 39세",219
"2015.4/4","부산광역시","남자","40 - 49세",235
"2015.4/4","부산광역시","남자","50 - 59세",236
"2015.4/4","부산광역시","남자","60세이상",150
"2015.4/4","부산광역시","여자","20 - 29세",127
"2015.4/4","부산광역시","여자","30 - 39세",134
"2015.4/4","부산광역시","여자","40 - 49세",174
"2015.4/4","부산광역시","여자","50 - 59세",191
"2015.4/4","부산광역시","여자","60세이상",110
"2015.4/4","대구광역시","남자","20 - 29세",77
"2015.4/4","대구광역시","남자","30 - 39세",162
"2015.4/4","대구광역시","남자","40 - 49세",198
"2015.4/4","대구광역시","남자","50 - 59세",181
"2015.4/4","대구광역시","남자","60세이상",102
"2015.4/4","대구광역시","여자","20 - 29세",89
"2015.4/4","대구광역시","여자","30 - 39세",101
"2015.4/4","대구광역시","여자","40 - 49세",142
"2015.4/4","대구광역시","여자","50 - 59세",124
"2015.4/4","대구광역시","여자","60세이상",61
"2015.4/4","인천광역시","남자","20 - 29세",109
"2015.4/4","인천광역시","남자","30 - 39세",215
"2015.4/4","인천광역시","남자","40 - 49세",236
"2015.4/4","인천광역시","남자","50 - 59세",209
"2015.4/4","인천광역시","남자","60세이상",100
"2015.4/4","인천광역시","여자","20 - 29세",112
"2015.4/4","인천광역시","여자","30 - 39세",126
"2015.4/4","인천광역시","여자","40 - 49세",166
"2015.4/4","인천광역시","여자","50 - 59세",150
"2015.4/4","인천광역시","여자","60세이상",74
"2015.4/4","광주광역시","남자","20 - 29세",44
"2015.4/4","광주광역시","남자","30 - 39세",107
"2015.4/4","광주광역시","남자","40 - 49세",122
"2015.4/4","광주광역시","남자","50 - 59세",97
"2015.4/4","광주광역시","남자","60세이상",47
"2015.4/4","광주광역시","여자","20 - 29세",53
"2015.4/4","광주광역시","여자","30 - 39세",66
