"출입국항별","내외국인별","시점","성별","항목",데이터
"인천공항","외국인","2011","여자","입국자",117704
"인천공항","외국인","2011","여자","출국자",77592
"인천공항","외국인","2012","남자","입국자",429316
"인천공항","외국인","2012","남자","출국자",320930
"인천공항","외국인","2012","여자","입국자",349153
"인천공항","외국인","2012","여자","출국자",248427
"인천공항","외국인","2013","남자","입국자",175105
"인천공항","외국인","2013","남자","출국자",117888
"인천공항","외국인","2013","여자","입국자",134839
"인천공항","외국인","2013","여자","출국자",98025
"인천공항","외국인","2014","남자","입국자",194067
"인천공항","외국인","2014","남자","출국자",115103
"인천공항","외국인","2014","여자","입국자",155384
"인천공항","외국인","2014","여자","출국자",103756
"인천공항","외국인","2015","남자","입국자",170986
"인천공항","외국인","2015","남자","출국자",130335
"인천공항","외국인","2015","여자","입국자",143525
"인천공항","외국인","2015","여자","출국자",109977
"인천공항","외국인","2016","남자","입국자",186190
"인천공항","외국인","2016","남자","출국자",140489
"인천공항","외국인","2016","여자","입국자",153157
"인천공항","외국인","2016","여자","출국자",115002
"인천공항","외국인","2017","남자","입국자",210162
"인천공항","외국인","2017","남자","출국자",151742
"인천공항","외국인","2017","여자","입국자",174969
"인천공항","외국인","2017","여자","출국자",124441
"인천공항","외국인","2018","남자","입국자",229397
"인천공항","외국인","2018","남자","출국자",160929
"인천공항","외국인","2018","여자","입국자",189754
"인천공항","외국인","2018","여자","출국자",130711
"인천공항","외국인","2019","남자","입국자",189463
"인천공항","외국인","2019","남자","출국자",186041
"인천공항","외국인","2019","여자","입국자",163755
"인천공항","외국인","2019","여자","출국자",155902
"인천공항","외국인","2020","남자","입국자",107974
"인천공항","외국인","2020","남자","출국자",177105
"인천공항","외국인","2020","여자","입국자",111761
"인천공항","외국인","2020","여자","출국자",140424
"인천공항","외국인","2021","남자","입국자",106143
"인천공항","외국인","2021","남자","출국자",138749
"인천공항","외국인","2021","여자","입국자",111261
"인천공항","외국인","2021","여자","출국자",112458
"인천공항","외국인","2022","남자","입국자",220602
"인천공항","외국인","2022","남자","출국자",124034
"인천공항","외국인","2022","여자","입국자",172332
"인천공항","외국인","2022","여자","출국자",106797
"인천공항","외국인","2023","남자","입국자",238300
"인천공항","외국인","2023","남자","출국자",148900
"인천공항","외국인","2023","여자","입국자",181388
"인천공항","외국인","2023","여자","출국자",130769
"인천공항","외국인","2024","남자","입국자",213978
"인천공항","외국인","2024","남자","출국자",161611
"인천공항","외국인","2024","여자","입국자",169391
"인천공항","외국인","2024","여자","출국자",136567
