"시점",스트레스 인지율,스트레스 인지율,스트레스 인지율,우울감 경험률,우울감 경험률,우울감 경험률,자살 생각률,자살 생각률,자살 생각률
"시점",전체,남학생,여학생,전체,남학생,여학생,전체,남학생,여학생
"2025",42.6,34.0,51.8,26.8,23.5,30.3,12.7,9.4,16.2
